time,event,type,missing_in,classification,reason,rule_id
2026-04-22T00:30:16,PowerControllerShutdownRequest: shutdownOptions: 2,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:30:17,Power-up state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:30:22,Calibration state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:30:37,Menu Opened: User Calibration,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:30:38,KeyPressed on :   Closed,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:30:51,Close button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:30:51,Checkout state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:30:51,Menu Opened: Checkout,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:31:15,Bypass button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:31:15,Start Case state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:31:15,Menu Opened: Start Case,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:31:17,Start Anesthesia button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:31:17,Start Case state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:31:17,Therapy state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:31:17,DEBUG-SystemController: setRandRStatusLocation in Therapy ==>  Request status is true: 211  errocode:  ,STATE_TRANSITION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:31:17,CO2 Apnea FSM Transition to STANDBY state,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:32:35,System Setup button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:35,Menu Opened: System Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:37,Start Case button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:37,Menu Opened: End Case,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:38,End Case Now button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:38,Therapy state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:32:38,Standby state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:32:39,System Setup button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:39,Menu Opened: System Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:32:40,Service button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:34:02,LoginCancelButton button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:34:04,Service button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:34:14,Standby state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:34:14,Service state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:34:44,Stop previous patient case breath logs copying; start case now.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:35:03,Reset button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:37:19,Received shutdown notification.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:37:19,Shutdown state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:37:19,PopupMessageBoxController::slotSystemStateChanged System enter into shutdown state,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:38:35,PowerControllerShutdownRequest: shutdownOptions: 2,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:38:36,Power-up state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:38:40,Calibration state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:38:54,Menu Opened: User Calibration,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:38:56,KeyPressed on :   Closed,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:40:10,Close button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:40:10,Checkout state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
