system_time,system_event,SBX_count,SBX_events,DOCOM_count,DOCOM_events,HL7_count,HL7_events
2026-06-03T17:39:39,Control Status: 0x00000001,0,,0,,0,
2026-06-03T17:39:43,Menu Opened: Vent,0,,0,,0,
2026-06-03T17:39:45, PSVPro button is pressed.,0,,0,,0,
2026-06-03T17:39:49,PSCommAdapter::BatteryStateResponse  BatteryTime is 9 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:50,QuickKey: Psupport setting changed from 2.0 to 39,0,,0,,0,
2026-06-03T17:39:50,VentSetting request received with mode ANES_PSV_PRO and number of settings: 49,0,,0,,0,
2026-06-03T17:39:50,Constraint check status is: 1,0,,0,,0,
2026-06-03T17:39:50,PSVPro mode started at 2406030. Event: Vent Mode change to PSVPro,0,,0,,0,
2026-06-03T17:39:50,Backup mode EXITED. Event: Vent Mode changed to non SIMV-PCV,0,,0,,0,
2026-06-03T17:39:51,BACKUP MODE ENTERED Off,0,,0,,0,
2026-06-03T17:39:52,PSCommAdapter::BatteryStateResponse  BatteryTime is 0 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:53,PSCommAdapter::BatteryStateResponse  BatteryTime is 9 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:54,KeyPressed on : Ventilator Setting: LeftKeyPressed on ventilator editableQKkey,0,,0,,0,
2026-06-03T17:39:54,PSCommAdapter::BatteryStateResponse  BatteryTime is 0 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:54,KeyPressed on : Ventilator Setting: LeftKeyPressed on ventilator editableQKkey,0,,0,,0,
2026-06-03T17:39:55,PSCommAdapter::BatteryStateResponse  BatteryTime is 9 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:55,Alarms On/Off button is pressed.,0,,0,,0,
2026-06-03T17:39:55,Menu Opened: Auto Limits,0,,0,,0,
2026-06-03T17:39:57,PSCommAdapter::BatteryStateResponse  BatteryTime is 0 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:58,PSCommAdapter::BatteryStateResponse  BatteryTime is 9 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:39:58,Cancel button is pressed.,0,,0,,0,
2026-06-03T17:39:59,PSCommAdapter::BatteryStateResponse  BatteryTime is 0 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:40:00,PSCommAdapter::BatteryStateResponse  BatteryTime is 9 ; BatteryState is 0,0,,0,,0,
2026-06-03T17:40:00,Alarms On/Off button is pressed.,0,,0,,0,
2026-06-03T17:40:00,Menu Opened: Auto Limits,0,,0,,0,
2026-06-03T17:40:02,Case Default Limits button is pressed.,0,,0,,0,
